MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,Fence,SaleType,SaleCondition,SalePrice,SalePrice_log,NumberBath
RL,75.0,11310,None,Reg,Lvl,Inside,NAmes,1Fam,1Story,6,1954,1954,Wd Sdng,BrkFace,None,0,3,CBlock,3,3,No,Unf,0,Unf,1367,1367,5,Y,SBrkr,1375,0,1375,2,3,5,1,3,Attchd,1954,Unf,2,3,Y,0,30,None,WD,Normal,140000,11.849404844423074,1.0
RL,72.0,11317,None,Reg,Lvl,Inside,CollgCr,1Fam,2Story,7,2003,2003,VinylSd,VinylSd,BrkFace,101,4,PConc,4,3,No,Unf,0,Unf,840,840,5,Y,SBrkr,840,828,1668,3,4,8,0,0,Attchd,2003,RFn,2,3,Y,144,68,None,WD,Normal,180000,12.100717685412471,2.5
RL,80.0,159000,None,IR2,Low,CulDSac,ClearCr,1Fam,1.5Fin,6,1958,2006,Wd Sdng,HdBoard,BrkCmn,472,4,CBlock,4,3,Gd,Rec,697,Unf,747,1444,4,Y,SBrkr,1444,700,2144,4,4,7,2,3,Attchd,1958,Fin,2,3,Y,0,98,None,WD,Normal,277000,12.531776395271262,2.0
RL,55.0,5350,None,IR1,Lvl,Inside,BrkSide,1Fam,1Story,3,1940,1966,Wd Sdng,Plywood,None,0,3,CBlock,3,3,No,Unf,0,Unf,728,728,5,Y,SBrkr,1306,0,1306,3,2,6,0,0,None,0,None,0,0,Y,263,0,GdWo,WD,Normal,76500,11.245059091624615,1.0
RM,44.0,4750,None,IR1,HLS,Inside,Crawfor,TwnhsE,1Story,8,2006,2007,VinylSd,VinylSd,Stone,481,4,PConc,4,3,Gd,GLQ,1573,Unf,0,1573,5,Y,SBrkr,1625,0,1625,2,4,5,1,4,Attchd,2006,Fin,2,3,Y,123,0,None,WD,Family,235000,12.367345048436391,2.0
RL,65.0,8366,None,IR1,Lvl,Inside,SawyerW,1Fam,2Story,6,2004,2004,VinylSd,VinylSd,None,0,4,PConc,4,3,No,Unf,0,Unf,798,798,5,Y,SBrkr,798,842,1640,3,4,6,0,0,Attchd,2004,RFn,2,3,Y,138,45,None,WD,Normal,173000,12.06105265381003,2.5
RL,85.0,9350,None,Reg,Lvl,Inside,NAmes,1Fam,SLvl,6,1964,1991,HdBoard,HdBoard,BrkFace,108,3,CBlock,4,3,Gd,LwQ,270,ALQ,452,1302,5,Y,SBrkr,1302,0,1302,3,4,7,0,0,Attchd,1964,RFn,1,3,Y,333,0,MnPrv,CWD,Normal,158000,11.970356641102999,2.0
RL,70.0,8400,None,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,1957,1957,MetalSd,MetalSd,None,0,3,CBlock,3,3,No,Rec,922,Unf,392,1314,3,Y,SBrkr,1314,0,1314,3,3,5,0,0,Attchd,1957,RFn,1,3,Y,250,0,None,WD,Normal,145000,11.884495917930655,1.0
RL,66.0,8738,None,IR1,Lvl,Inside,Gilbert,1Fam,2Story,7,1999,1999,VinylSd,VinylSd,BrkFace,302,4,PConc,4,3,No,Unf,0,Unf,975,975,5,Y,SBrkr,1005,1286,2291,4,4,8,1,3,BuiltIn,1999,Fin,2,3,Y,192,0,None,WD,Normal,230000,12.345838935721968,2.5
FV,64.0,8791,None,IR1,Lvl,Inside,Somerst,1Fam,2Story,6,2003,2003,VinylSd,VinylSd,None,0,4,PConc,4,3,No,Rec,503,Unf,361,864,5,Y,SBrkr,864,864,1728,3,4,7,0,0,Attchd,2003,RFn,2,3,Y,216,56,None,WD,Normal,207500,12.242891437918386,2.5
RL,68.0,8814,None,Reg,Lvl,Inside,CollgCr,1Fam,1Story,7,2006,2006,VinylSd,VinylSd,Stone,180,4,PConc,4,3,No,GLQ,1334,Unf,270,1604,5,Y,SBrkr,1604,0,1604,3,4,8,1,4,Attchd,2006,RFn,2,3,Y,123,110,None,WD,Abnorml,220000,12.301387370778713,2.5
RL,80.0,12435,None,Reg,Lvl,Inside,CollgCr,1Fam,2Story,7,2001,2001,VinylSd,VinylSd,BrkFace,172,4,PConc,4,3,No,GLQ,361,Unf,602,963,5,Y,SBrkr,963,829,1792,3,4,7,1,3,Attchd,2001,RFn,2,3,Y,0,96,None,WD,Normal,231500,12.352339472153524,2.5
RM,70.0,12702,None,Reg,Lvl,Inside,OldTown,1Fam,1Story,5,1956,1956,BrkFace,BrkFace,None,0,3,PConc,0,0,None,None,0,None,0,0,4,Y,FuseA,882,0,882,2,3,4,0,0,Detchd,1956,Unf,1,3,Y,0,45,None,WD,Normal,97000,11.48247656671073,1.0
RL,120.0,19296,None,Reg,Lvl,Corner,NAmes,1Fam,SLvl,6,1962,1962,Wd Sdng,Wd Sdng,BrkFace,399,3,CBlock,3,3,Gd,Rec,672,ALQ,0,1362,3,Y,SBrkr,1382,0,1382,3,3,6,1,3,Attchd,1991,Unf,2,3,Y,0,0,GdWo,WD,Normal,176000,12.07824495582233,1.0
RL,69.0,9588,None,IR1,Lvl,Inside,CollgCr,1Fam,2Story,8,2007,2007,CemntBd,CmentBd,Stone,270,4,PConc,5,3,No,Unf,0,Unf,1482,1482,5,Y,SBrkr,1482,1092,2574,3,5,10,1,4,BuiltIn,2007,Fin,3,3,Y,0,148,None,New,Partial,276000,12.52815976788113,2.5
RL,88.0,8471,None,IR1,Lvl,Corner,Sawyer,1Fam,SLvl,6,1977,1995,HdBoard,Plywood,BrkFace,46,3,CBlock,4,4,Av,ALQ,506,Unf,0,506,3,Y,SBrkr,1212,0,1212,3,3,6,1,3,Attchd,1978,Unf,2,3,Y,292,12,GdWo,WD,Normal,151000,11.92504173829169,1.0
RM,50.0,5500,None,Reg,Lvl,Corner,OldTown,1Fam,1.5Fin,5,1929,2001,Wd Sdng,Wd Sdng,None,0,3,BrkTil,3,3,No,LwQ,234,ALQ,0,926,3,Y,SBrkr,926,0,1316,3,3,6,0,0,Detchd,1974,Unf,2,3,Y,0,0,None,WD,Normal,130000,11.775297421715827,1.0
RM,30.0,5232,Grvl,IR3,Bnk,Inside,OldTown,1Fam,1Story,5,1925,2004,Wd Sdng,Wd Sdng,None,0,3,BrkTil,2,3,No,Unf,0,Unf,680,680,4,N,FuseP,764,0,764,2,3,4,0,0,Detchd,1965,Unf,2,3,N,0,0,None,WD,Normal,73000,11.19822841866684,1.0
RL,78.0,12090,None,IR1,Lvl,Inside,NWAmes,1Fam,1Story,6,1981,1981,MetalSd,MetalSd,BrkFace,210,3,CBlock,4,3,No,GLQ,588,LwQ,606,1422,3,Y,SBrkr,1422,0,1422,3,4,7,1,3,Attchd,1981,Fin,2,3,Y,276,0,GdPrv,WD,Normal,175500,12.075400019877522,2.0
RL,70.0,11207,None,IR1,HLS,FR2,Gilbert,1Fam,2Story,6,1997,1997,VinylSd,VinylSd,None,0,3,PConc,4,3,Av,GLQ,714,Unf,88,802,4,Y,SBrkr,802,709,1511,3,3,8,1,3,Attchd,1997,Fin,2,3,Y,95,75,None,WD,Normal,185000,12.128116509451258,2.5
RL,60.0,8400,None,Reg,Bnk,Inside,SWISU,1Fam,2.5Fin,5,1939,1997,Wd Sdng,Wd Sdng,None,0,3,PConc,3,3,No,LwQ,378,Unf,342,720,5,Y,SBrkr,1052,720,2192,4,4,8,1,4,Detchd,1939,Unf,1,3,Y,262,24,None,WD,Normal,179500,12.097936057925594,2.5
RM,71.0,6900,None,Reg,Lvl,Inside,IDOTRR,1Fam,1Story,5,1940,1955,VinylSd,VinylSd,None,0,3,CBlock,3,3,No,ALQ,403,Rec,212,740,5,Y,SBrkr,778,0,778,2,3,4,1,4,Detchd,1966,Fin,1,5,Y,0,25,None,WD,Normal,120500,11.699413330633599,1.0
RL,65.5,7917,None,IR1,Lvl,Corner,Edwards,1Fam,1Story,6,1976,1976,HdBoard,HdBoard,BrkFace,174,3,CBlock,3,4,No,BLQ,751,Unf,392,1143,3,Y,SBrkr,1113,0,1113,3,3,6,1,2,Attchd,1987,RFn,1,3,Y,370,30,GdPrv,WD,Normal,148000,11.904974309480181,1.5
FV,84.0,10728,None,Reg,Lvl,Inside,Somerst,1Fam,2Story,8,2006,2006,VinylSd,VinylSd,None,0,4,PConc,4,3,Mn,Unf,0,Unf,1095,1095,4,Y,SBrkr,1095,844,1939,3,4,8,1,4,Attchd,2006,RFn,3,3,Y,192,51,None,New,Partial,266000,12.491255347155265,2.5
RL,73.0,39104,None,IR1,Low,CulDSac,ClearCr,1Fam,1Story,7,1954,2005,Plywood,Plywood,None,0,3,CBlock,4,3,Gd,LwQ,226,GLQ,96,1385,5,Y,SBrkr,1363,0,1363,2,3,5,2,3,Attchd,1954,Unf,2,3,Y,81,0,None,WD,Normal,241500,12.394628892852941,1.0
RL,92.0,11764,None,IR1,Lvl,CulDSac,NoRidge,1Fam,2Story,8,1999,2007,VinylSd,VinylSd,BrkFace,348,4,PConc,4,3,No,GLQ,524,Unf,628,1152,5,Y,SBrkr,1164,1106,2270,4,4,9,1,4,Attchd,1999,Fin,3,3,Y,132,57,None,WD,Normal,290000,12.577639650232573,2.5
RL,80.0,9600,None,Reg,Lvl,Inside,NAmes,1Fam,1Story,6,1958,1988,Wd Sdng,Wd Sdng,BrkCmn,183,3,CBlock,3,3,No,Rec,620,LwQ,0,1240,4,Y,SBrkr,1632,0,1632,3,3,6,1,4,Attchd,1958,RFn,1,3,Y,289,0,MnPrv,WD,Normal,139000,11.842236406331555,2.0
RL,76.0,8314,None,Reg,Lvl,Corner,Mitchel,1Fam,1Story,5,1982,1982,HdBoard,ImStucc,None,0,3,CBlock,3,3,Gd,ALQ,546,Unf,270,816,3,Y,SBrkr,816,0,816,2,3,5,0,0,Attchd,1982,Unf,1,3,Y,168,0,None,WD,Normal,124500,11.732069026983156,1.0
RL,55.0,7264,None,Reg,Lvl,Inside,BrkSide,1Fam,1.5Fin,7,1925,2007,Wd Sdng,Wd Sdng,None,0,4,BrkTil,3,3,No,Unf,0,Unf,952,952,4,N,SBrkr,952,596,1548,3,5,5,0,0,Detchd,1978,Unf,2,3,Y,74,0,None,WD,Normal,205000,12.230770136157428,2.5
RL,129.0,9196,None,IR1,Lvl,Inside,Mitchel,1Fam,1Story,7,2003,2003,VinylSd,VinylSd,None,0,4,PConc,5,3,No,Unf,0,Unf,1560,1560,5,Y,SBrkr,1560,0,1560,3,4,7,0,0,Attchd,2003,Fin,2,3,Y,100,150,None,WD,Normal,201000,12.211065162153215,2.0
RL,140.0,19138,None,Reg,Lvl,Corner,Gilbert,1Fam,1Story,4,1951,1951,VinylSd,VinylSd,None,0,3,CBlock,3,3,No,LwQ,120,Unf,744,864,5,Y,SBrkr,864,0,864,2,3,4,0,0,Detchd,1951,Unf,2,3,Y,0,0,None,WD,Normal,141000,11.856522261533737,1.0
RL,107.0,14450,None,Reg,Lvl,Inside,NridgHt,1Fam,1Story,9,2006,2007,CemntBd,CmentBd,BrkFace,315,5,PConc,5,3,Gd,Unf,0,Unf,2121,2121,5,Y,SBrkr,2121,0,2121,3,5,8,1,5,Attchd,2007,Fin,3,3,Y,124,98,None,New,Partial,415298,12.936754021718041,2.5
RL,83.0,10005,None,Reg,Lvl,Inside,ClearCr,1Fam,2Story,7,1977,1977,Plywood,Plywood,BrkFace,299,3,CBlock,4,3,No,BLQ,392,Unf,768,1160,5,Y,SBrkr,1156,866,2022,4,3,8,1,3,Attchd,1977,Fin,2,3,Y,288,117,None,WD,Normal,192000,12.165255859329688,2.5
RL,82.0,11287,None,Reg,Lvl,Inside,SawyerW,1Fam,2Story,7,1989,1989,Plywood,Plywood,BrkFace,340,4,CBlock,4,3,Av,GLQ,421,Unf,386,807,4,Y,SBrkr,1175,807,1982,3,4,7,1,3,Attchd,1989,Fin,2,3,Y,0,84,None,WD,Normal,228500,12.339295865674435,2.5
FV,60.0,7200,Pave,Reg,Lvl,Inside,Somerst,1Fam,1Story,6,2006,2006,VinylSd,VinylSd,Stone,68,4,PConc,4,3,No,GLQ,905,Unf,357,1262,4,Y,SBrkr,1262,0,1262,2,4,5,0,0,Attchd,2006,Fin,2,3,Y,0,120,None,New,Partial,185000,12.128116509451258,2.0
RL,34.0,5063,None,Reg,Lvl,Inside,NridgHt,Twnhs,1Story,7,2007,2008,VinylSd,VinylSd,Stone,166,4,PConc,4,3,No,GLQ,904,Unf,410,1314,5,Y,SBrkr,1314,0,1314,2,4,6,1,4,Attchd,2008,RFn,2,3,Y,172,62,None,ConLw,Normal,207500,12.242891437918386,2.0
RL,74.0,9612,None,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,2008,2009,VinylSd,VinylSd,Stone,72,4,PConc,4,3,No,Unf,0,Unf,1468,1468,5,Y,SBrkr,1468,0,1468,3,4,6,1,4,Attchd,2008,Fin,3,3,Y,210,150,None,New,Partial,244600,12.407383590534293,2.0
RL,50.0,8012,None,Reg,Lvl,Inside,SawyerW,TwnhsE,1Story,6,1992,1992,Plywood,ImStucc,None,0,4,PConc,4,3,No,GLQ,430,Unf,1145,1575,4,Y,SBrkr,1575,0,1575,2,4,5,0,0,Attchd,1992,RFn,2,3,Y,0,0,None,WD,Normal,179200,12.09626335986454,2.0
FV,35.0,4251,Pave,IR1,Lvl,Inside,Somerst,TwnhsE,2Story,7,2006,2007,MetalSd,MetalSd,None,0,4,PConc,4,3,No,Unf,0,Unf,625,625,5,Y,SBrkr,625,625,1250,2,4,5,0,0,Detchd,2006,RFn,2,3,Y,0,54,None,New,Partial,164700,12.011886987792716,2.5
RL,77.0,9786,None,IR1,Bnk,Inside,NAmes,1Fam,1.5Fin,6,1962,1981,Wd Sdng,Wd Sdng,None,0,3,CBlock,3,3,No,Rec,600,Unf,312,912,3,Y,SBrkr,1085,649,1734,3,4,7,1,4,Attchd,1962,RFn,2,3,Y,0,0,GdPrv,WD,Normal,159000,11.976665770490767,1.5
RL,73.0,8125,None,IR1,Lvl,Corner,NAmes,1Fam,1Story,4,1971,1971,HdBoard,HdBoard,None,0,3,CBlock,3,3,No,BLQ,614,Unf,244,858,3,Y,SBrkr,858,0,858,3,3,5,0,0,None,0,None,0,0,Y,0,0,None,WD,Normal,88000,11.385103457032141,1.0
RL,71.0,9819,None,IR1,Lvl,Inside,Sawyer,1Fam,1Story,5,1967,1967,MetalSd,MetalSd,BrkFace,31,3,CBlock,3,3,No,BLQ,450,Unf,432,882,3,Y,SBrkr,900,0,900,3,3,5,0,0,Detchd,1970,Unf,1,3,Y,0,0,MnPrv,WD,Normal,122000,11.711784520403112,1.0
RL,60.0,8730,None,Reg,Lvl,Inside,BrkSide,1Fam,2Story,6,1915,2003,Wd Sdng,Wd Sdng,None,0,3,BrkTil,3,3,No,Unf,0,Unf,698,698,5,Y,FuseA,698,698,1396,3,3,7,0,0,Detchd,2003,Unf,1,3,Y,0,0,None,WD,Normal,153575,11.941950837487406,1.0
RL,120.0,15611,None,Reg,Lvl,Inside,CollgCr,1Fam,2Story,8,2006,2006,VinylSd,VinylSd,None,0,4,PConc,4,3,Av,Unf,0,Unf,1079,1079,5,Y,SBrkr,1079,840,1919,3,4,8,1,4,Attchd,2006,RFn,2,4,Y,0,51,None,New,Partial,233230,12.359784657728284,2.5
RL,55.0,5687,Grvl,Reg,Bnk,Inside,SWISU,2fmCon,2Story,5,1912,2000,VinylSd,VinylSd,None,0,3,PConc,3,2,No,Rec,210,Unf,570,780,5,N,SBrkr,936,780,1716,6,2,9,0,0,None,0,None,0,0,N,0,184,None,WD,Normal,135900,11.819681958463892,2.0
RL,60.0,11409,None,Reg,Lvl,Inside,Edwards,1Fam,1.5Fin,5,1949,2008,Wd Sdng,Wd Sdng,None,0,3,CBlock,3,3,No,LwQ,292,Unf,476,768,4,Y,SBrkr,1148,568,1716,3,3,8,1,4,Attchd,1949,Unf,1,3,Y,0,0,None,WD,Normal,131000,11.782960235741939,1.5
RL,80.0,16659,None,IR1,Lvl,Corner,NWAmes,1Fam,2Story,7,1977,1994,Plywood,Plywood,BrkFace,34,3,CBlock,3,3,No,ALQ,795,Unf,0,795,2,Y,SBrkr,1468,795,2263,3,4,9,1,3,Attchd,1977,Fin,2,3,Y,0,250,None,WD,Normal,235000,12.367345048436391,2.5
RL,80.0,9600,None,Reg,Lvl,Inside,NAmes,1Fam,1Story,6,1953,1953,HdBoard,HdBoard,Stone,238,3,CBlock,3,3,No,GLQ,1285,Unf,131,1416,3,Y,SBrkr,1644,0,1644,3,3,7,2,4,Attchd,1953,Fin,2,3,Y,110,0,None,WD,Normal,167000,12.025755079404917,1.0
RL,37.0,7937,None,IR1,Lvl,CulDSac,Mitchel,1Fam,SLvl,6,1984,1984,HdBoard,HdBoard,None,0,3,CBlock,3,3,Av,GLQ,819,Unf,184,1003,3,Y,SBrkr,1003,0,1003,3,3,6,0,0,Detchd,1984,Unf,2,3,Y,120,0,GdPrv,WD,Normal,142500,11.86710429621008,1.0
RM,75.0,13710,None,Reg,Lvl,Inside,IDOTRR,1Fam,1.5Fin,5,1950,1950,Wd Sdng,Wd Sdng,None,0,3,CBlock,3,3,No,BLQ,420,Unf,490,910,3,Y,FuseA,910,648,1558,4,3,6,0,0,Attchd,1950,Unf,1,3,Y,289,0,MnPrv,WD,Normal,152000,11.931642378754141,1.5
FV,66.0,7399,Pave,IR1,Lvl,Inside,Somerst,1Fam,2Story,7,1997,1998,VinylSd,VinylSd,BrkFace,1600,4,PConc,4,3,No,BLQ,649,Unf,326,975,5,Y,SBrkr,975,975,1950,3,4,7,1,3,Detchd,1997,RFn,2,3,Y,0,10,None,WD,Normal,239000,12.384223015005313,2.5
RL,90.0,11700,None,Reg,Lvl,Inside,NWAmes,1Fam,2Story,6,1968,1968,HdBoard,AsphShn,BrkFace,365,4,CBlock,3,3,No,ALQ,384,Rec,143,702,4,Y,SBrkr,1041,702,1743,3,3,7,1,4,Attchd,1968,Unf,2,3,Y,224,0,None,WD,Normal,175000,12.07254696717504,2.0
RL,80.0,14000,None,Reg,Lvl,Inside,Crawfor,1Fam,1Story,6,1950,2004,HdBoard,HdBoard,None,0,3,CBlock,3,3,No,Unf,0,Unf,1092,1092,5,Y,SBrkr,1152,0,1152,3,4,6,1,4,Attchd,1950,Unf,1,3,Y,0,36,GdPrv,WD,Family,158500,11.973516181427835,1.0
RL,90.0,15750,None,Reg,Lvl,Corner,Crawfor,2fmCon,1Story,5,1953,1953,MetalSd,MetalSd,BrkFace,56,3,CBlock,3,3,Mn,BLQ,841,Unf,324,1165,3,Y,SBrkr,1336,0,1336,2,3,5,2,4,Attchd,1953,Unf,1,3,Y,0,0,None,WD,Normal,157000,11.964007453736912,1.0
RL,66.0,16226,None,IR3,Lvl,Inside,CollgCr,1Fam,2Story,8,1998,1999,VinylSd,VinylSd,None,0,4,PConc,4,3,No,GLQ,281,Unf,747,1028,5,Y,SBrkr,1210,1242,2452,4,4,9,1,3,BuiltIn,1998,Fin,2,3,Y,208,50,None,WD,Normal,267000,12.495007682693725,2.5
RL,118.0,13704,None,IR1,Lvl,Corner,CollgCr,1Fam,1Story,7,2001,2002,VinylSd,VinylSd,BrkFace,150,4,PConc,4,3,No,Unf,0,Unf,1541,1541,5,Y,SBrkr,1541,0,1541,3,4,6,1,3,Attchd,2001,RFn,3,3,Y,468,81,None,WD,Normal,205000,12.230770136157428,2.0
RL,70.0,9800,None,Reg,Lvl,Corner,CollgCr,1Fam,1Story,5,1972,1972,VinylSd,VinylSd,None,0,3,PConc,3,3,No,ALQ,894,Unf,0,894,3,Y,SBrkr,894,0,894,3,3,5,0,0,Attchd,1975,Unf,2,3,Y,256,0,GdWo,WD,Abnorml,149900,11.917730355182513,1.0
RM,87.0,18386,None,Reg,Lvl,Inside,OldTown,1Fam,2.5Fin,7,1880,2002,CemntBd,CmentBd,None,0,3,BrkTil,3,3,No,Unf,0,Unf,1470,1470,5,Y,SBrkr,1675,1818,3493,3,4,10,1,5,Attchd,2003,Unf,3,3,Y,302,0,None,WD,Normal,295000,12.59473402514672,3.0
RL,80.0,10386,None,Reg,Lvl,Inside,CollgCr,1Fam,1Story,8,2004,2005,CemntBd,CmentBd,Stone,246,4,PConc,4,3,No,GLQ,1464,Unf,536,2000,5,Y,SBrkr,2000,0,2000,3,4,8,0,0,Attchd,2004,Fin,3,3,Y,168,0,None,WD,Normal,305900,12.631016799175821,2.0
RL,116.0,13474,None,Reg,Lvl,Inside,SawyerW,1Fam,2Story,7,1990,1991,HdBoard,Plywood,BrkFace,246,4,CBlock,4,3,No,ALQ,700,Unf,0,700,4,Y,SBrkr,1122,1121,2243,4,4,8,1,3,Attchd,1990,RFn,3,3,Y,127,44,None,WD,Normal,225000,12.323860125621126,2.5
RM,60.0,7920,Grvl,IR1,Lvl,Inside,IDOTRR,1Fam,1.5Fin,6,1920,1950,MetalSd,MetalSd,None,0,3,CBlock,3,3,No,Unf,0,Unf,319,319,3,Y,FuseA,1035,371,1406,3,2,6,0,0,None,0,None,0,0,N,0,144,MnPrv,WD,Normal,89500,11.402005077384885,1.0
RL,65.5,12342,None,IR1,Lvl,Inside,Edwards,1Fam,1Story,4,1940,1950,VinylSd,VinylSd,None,0,3,CBlock,3,3,No,BLQ,262,Unf,599,861,5,Y,SBrkr,861,0,861,1,3,4,0,0,Detchd,1961,Unf,2,3,Y,158,0,None,WD,Normal,82500,11.320565693461432,1.0
RL,90.0,12378,None,IR1,Lvl,Inside,NridgHt,1Fam,1Story,9,2003,2004,VinylSd,VinylSd,None,0,4,PConc,5,3,Gd,GLQ,1274,Unf,622,1896,5,Y,SBrkr,1944,0,1944,3,5,8,3,5,Attchd,2003,Fin,3,3,Y,208,175,None,WD,Normal,360000,12.793862088206213,2.0
RL,65.0,7685,None,IR1,Lvl,Inside,Gilbert,1Fam,2Story,6,1993,1994,HdBoard,HdBoard,BrkFace,112,3,PConc,4,3,No,ALQ,518,Unf,179,697,4,Y,SBrkr,697,804,1501,3,4,6,1,3,Attchd,1993,Fin,2,3,Y,190,63,None,WD,Normal,165600,12.017336559562407,2.5
RL,50.0,8000,None,Reg,Lvl,Inside,NAmes,1Fam,1Story,6,1948,2002,VinylSd,VinylSd,None,0,3,CBlock,3,3,No,ALQ,680,Unf,292,972,5,Y,SBrkr,972,0,972,2,3,5,1,4,Detchd,1948,Unf,1,3,Y,0,0,None,WD,Normal,132000,11.790564777297387,1.0
RM,65.0,7800,None,Reg,Lvl,Inside,OldTown,2fmCon,1.5Fin,5,1939,1950,MetalSd,MetalSd,None,0,3,CBlock,4,3,Mn,Rec,507,Unf,286,793,3,Y,SBrkr,793,325,1118,3,3,5,1,4,Detchd,1939,Unf,2,3,Y,0,0,MnPrv,WD,Normal,119900,11.694421681264394,1.0
RL,150.0,215245,None,IR3,Low,Inside,Timber,1Fam,1Story,7,1965,1965,BrkFace,BrkFace,None,0,3,CBlock,4,3,Gd,ALQ,1236,Rec,80,2136,3,Y,SBrkr,2036,0,2036,3,3,8,2,4,Attchd,1965,RFn,2,3,Y,0,0,None,WD,Normal,375000,12.834683971615659,2.0
RM,60.0,9600,Grvl,Reg,Lvl,Inside,OldTown,1Fam,2Story,7,1925,1990,Wd Sdng,Wd Sdng,None,0,3,BrkTil,3,4,No,LwQ,16,Unf,712,728,5,Y,SBrkr,832,809,1641,3,5,6,1,4,Detchd,1925,Unf,2,2,Y,0,0,None,WD,Normal,178000,12.08954444723597,1.5
RL,71.0,7795,None,IR1,Lvl,Inside,Gilbert,1Fam,2Story,7,2004,2005,VinylSd,VinylSd,None,0,4,PConc,4,3,No,GLQ,425,Unf,291,716,5,Y,SBrkr,716,716,1432,3,4,6,1,4,Attchd,2004,Fin,2,3,Y,100,51,None,WD,Normal,188500,12.146858590895919,2.5
RL,94.0,13005,None,IR1,Lvl,Corner,NWAmes,1Fam,2Story,7,1980,1980,CemntBd,CmentBd,BrkFace,278,4,CBlock,4,3,No,GLQ,692,Unf,153,845,3,Y,SBrkr,1153,1200,2353,4,5,10,1,3,Attchd,1983,RFn,2,3,Y,288,195,GdPrv,WD,Normal,260000,12.468440756144114,2.5
FV,75.0,9000,None,Reg,Lvl,Inside,Somerst,1Fam,2Story,8,2006,2006,VinylSd,VinylSd,None,0,4,PConc,4,3,Av,Unf,0,Unf,1088,1088,5,Y,SBrkr,1088,871,1959,3,4,8,1,4,Attchd,2006,RFn,3,3,Y,208,46,None,WD,Normal,270000,12.506180941677357,2.5
RL,90.0,9900,None,Reg,Low,Inside,NoRidge,1Fam,2Story,7,1993,1993,HdBoard,HdBoard,BrkFace,256,4,PConc,4,3,Gd,GLQ,987,Unf,360,1347,5,Y,SBrkr,1372,1274,2646,4,4,9,1,3,Attchd,1993,RFn,3,3,Y,340,60,None,WD,Normal,260000,12.468440756144114,2.5
RL,80.0,14115,None,Reg,Lvl,Inside,NWAmes,1Fam,SLvl,7,1980,1980,Plywood,Plywood,BrkFace,225,3,CBlock,4,3,Av,GLQ,1036,Unf,336,1372,3,Y,SBrkr,1472,0,1472,3,3,6,2,3,Attchd,1980,Unf,2,3,Y,233,48,None,WD,Normal,187500,12.141539457711714,2.0
RL,111.0,16259,None,Reg,Lvl,Corner,NridgHt,1Fam,2Story,9,2006,2006,VinylSd,VinylSd,Stone,370,3,PConc,5,4,Av,Unf,0,Unf,1249,1249,5,Y,SBrkr,1249,1347,2596,4,4,9,0,0,Attchd,2006,RFn,3,3,Y,240,154,None,New,Partial,342643,12.74444728628135,3.5
RL,99.0,12099,None,IR1,Lvl,Inside,NridgHt,1Fam,2Story,8,2004,2004,VinylSd,VinylSd,BrkFace,388,4,PConc,5,3,Av,GLQ,970,Unf,166,1136,5,Y,SBrkr,1136,1332,2468,4,4,10,1,4,BuiltIn,2004,Fin,3,3,Y,184,154,None,WD,Normal,354000,12.777055016970678,2.5
RL,86.0,10380,None,IR1,Lvl,Inside,SawyerW,1Fam,2Story,7,1986,1987,Plywood,Plywood,BrkFace,172,4,CBlock,3,3,Gd,LwQ,28,ALQ,0,1502,5,Y,SBrkr,1553,1177,2730,4,4,8,1,3,Attchd,1987,Fin,2,3,Y,201,96,MnPrv,WD,Normal,301000,12.614868865984631,2.5
RM,49.0,5820,None,Reg,Lvl,Inside,OldTown,1Fam,1Story,3,1955,2005,VinylSd,VinylSd,None,0,3,CBlock,3,3,No,ALQ,256,Unf,906,1162,5,Y,SBrkr,1163,0,1163,3,3,6,0,0,Attchd,1955,Unf,1,2,Y,142,98,None,WD,Normal,126175,11.745433036677353,1.0
RL,96.0,11275,None,Reg,Lvl,Corner,NAmes,1Fam,SLvl,7,1967,2007,Wd Sdng,Wd Sdng,BrkFace,300,4,CBlock,4,3,No,Unf,0,Unf,710,710,5,Y,SBrkr,1898,1080,2978,5,4,11,1,4,BuiltIn,1961,Fin,2,3,Y,240,0,None,WD,Normal,242000,12.396697137361691,2.5
RM,50.0,5000,None,Reg,Lvl,Inside,IDOTRR,1Fam,1.5Unf,5,1941,1950,MetalSd,MetalSd,None,0,3,CBlock,3,3,Av,BLQ,116,Unf,604,720,1,N,FuseF,803,0,803,2,3,5,0,0,Detchd,1941,Unf,2,3,Y,0,0,None,WD,Normal,87000,11.373674891823535,1.0
